SRR11829101.micro.NODE_1128_length_499_cov_1.295775	SRR11829101	499	1.296	viral/novel	QPO25405.1	58.2	4.9e-29	gbprot|QPO25405	58.2	3.3e-36	u195327	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR7086597.macro.NODE_365_length_2396_cov_2.994404	SRR7086597	2396	2.99	viral/novel	BBZ90074.1	52.6	3.1e-23	gbprot|BBZ90074	52.6	1.2e-29	u232914	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR11671127.micro.NODE_16_length_884_cov_5.853892	SRR11671127	884	5.85	viral/novel	QGW52049.1	64.4	1.1e-32	gbprot|QGW52049	64.4	2.6e-40	u182971	99.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR11829143.macro.NODE_12240_length_1296_cov_2.044154	SRR11829143	1296	2.04	viral/novel	YP_009336626.1	51.0	6.2e-26	gbprot|APG77709	51.0	1.0e-32	u191762	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR8202193.micro.NODE_27_length_1082_cov_62.142716	SRR8202193	1082	62.1	viral/novel	ADN43901.1	66.3	6.1e-38	gbprot|ADN43901	66.3	2.9e-46	u107775	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
ERR2827962.micro.NODE_2_length_1061_cov_23.095142	ERR2827962	1061	23.1	viral/novel	QPO25405.1	61.6	3.9e-32	gbprot|QPO25405	61.6	1.0e-39	u114141	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR8959271.macro.NODE_11518_length_521_cov_1.502174	SRR8959271	521	1.502	viral/novel	YP_009552081.1	76.2	2.8e-44	nr|YP_009552081.1	76.2	2.0e-53	u80644	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR6826341.micro.NODE_13_length_1085_cov_144.079048	SRR6826341	1085	144.1	viral/novel	AZT88617.1	69.7	6.9e-39	gbprot|AZT88617	69.7	2.5e-47	u267244	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR6973851.micro.NODE_21_length_1402_cov_18.644093	SRR6973851	1402	18.6	viral/novel	QNN89174.1	76.2	2.8e-44	gbprot|QNN89174	76.2	2.0e-53	u109070	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR8435702.micro.NODE_20_length_867_cov_7.955919	SRR8435702	867	7.96	viral/novel	YP_008719905.1	57.0	6.0e-33	gbprot|AGY34962	57.0	1.3e-40	u54778	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR2541377.micro.NODE_2_length_549_cov_9.630769	SRR2541377	549	9.63	viral/known	YP_438200.1	100.0	9.7e-63	gbprot|BAA06862	100.0	2.5e-74	u28681	97.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
ERR2596537.micro.NODE_3_length_860_cov_5.435544	ERR2596537	860	5.44	viral/novel	ALM62234.1	86.1	4.6e-48	gbprot|ALM62234	86.1	1.1e-57	u50784	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR1005269.micro.NODE_1_length_1486_cov_183.208072	SRR1005269	1486	183.2	viral/known	YP_438200.1	100.0	9.7e-63	gbprot|BAA06862	100.0	2.5e-74	u28681	97.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR4831670.micro.NODE_23_length_445_cov_1.158602	SRR4831670	445	1.159	viral/novel	QPO25405.1	54.5	7.6e-30	gbprot|QPO25405	54.5	4.0e-37	u134625	100.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
SRR11384111.micro.NODE_1_length_677_cov_9.856688	SRR11384111	677	9.86	viral/novel	ADN43901.1	60.2	8.1e-33	gbprot|ADN43901	60.2	1.8e-40	u134029	99.0	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
